path_to_zip,workunitid,sizeZipfile,n_inputs,enzymes,fastaFiles,nThreads,FixedModification,VariableModifications,Rmd
/srv/www/htdocs/p2175/bfabric/Proteomics/MaxQuant/2019/2019-01/2019-01-11/workunit_188485/1074865.zip,188485,365M,4,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2192/bfabric/Proteomics/MaxQuant/2019/2019-06/2019-06-27/workunit_200425/1293562.zip,200425,1.7G,12,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2203/bfabric/Proteomics/MaxQuant/2019/2019-07/2019-07-29/workunit_201662/1311375.zip,201662,552M,5,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2203/bfabric/Proteomics/MaxQuant/2019/2019-08/2019-08-05/workunit_201839/1315339.zip,201839,552M,5,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2456/bfabric/Proteomics/MaxQuant/2020/2020-03/2020-03-12/workunit_239674/1570879.zip,239674,1.9G,9,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2456/bfabric/Proteomics/MaxQuant/2020/2020-03/2020-03-12/workunit_239675/1570882.zip,239675,2.0G,8,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2456/bfabric/Proteomics/MaxQuant/2020/2020-03/2020-03-23/workunit_240078/1581143.zip,240078,2.2G,9,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2476/bfabric/Proteomics/MaxQuant/2019/2019-09/2019-09-11/workunit_203203/1327401.zip,203203,7.2G,53,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,48,{},Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2476/bfabric/Proteomics/MaxQuant/2019/2019-09/2019-09-17/workunit_203449/1330130.zip,,7,,,,,,,
/srv/www/htdocs/p2476/bfabric/Proteomics/MaxQuant/2019/2019-09/2019-09-25/workunit_203734/1334840.zip,203734,7.1G,50,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,48,{},Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2479/bfabric/Proteomics/MaxQuant/2019/2019-02/2019-02-27/workunit_193603/1155709.zip,193603,659M,4,Trypsin/P,p2558_db1_mouse_20190111.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2501/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-25/workunit_181465/927570.zip,181465,233M,5,Trypsin/P,p2501_db1_Acostaricensis_20170710.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2501/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-26/workunit_181496/927695.zip,181496,232M,5,Trypsin/P,p2501_db2_Acantonensis_20170710.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2501/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-29/workunit_182016/942636.zip,182016,232M,5,Trypsin/P,p2501_db2_Acantonensis_20170710.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2501/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-22/workunit_183588/979584.zip,183588,179M,5,Trypsin/P,p2501_db1_Acostaricensis_20170710.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2501/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-22/workunit_183589/979587.zip,183589,176M,5,Trypsin/P,p2501_db2_Acantonensis_20170710.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
